move_number,move_uci,player_name,time_taken_ms,centipawn_score,board_fen
1,b1a3,RANDOM,0.23270000019692816,-71,rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b KQkq - 1 1
2,e7e6,LLAMA,14537.345199998526,-29,rnbqkbnr/pppp1ppp/4p3/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 0 2
2,f2f4,RANDOM,0.05830000009154901,-67,rnbqkbnr/pppp1ppp/4p3/8/5P2/N7/PPPPP1PP/R1BQKBNR b KQkq - 0 2
3,e6e5,LLAMA,913.7998000005609,76,rnbqkbnr/pppp1ppp/8/4p3/5P2/N7/PPPPP1PP/R1BQKBNR w KQkq - 0 3
3,b2b3,RANDOM,0.057600002037361264,-210,rnbqkbnr/pppp1ppp/8/4p3/5P2/NP6/P1PPP1PP/R1BQKBNR b KQkq - 0 3
4,e5f4,LLAMA,1004.9312000010104,-209,rnbqkbnr/pppp1ppp/8/8/5p2/NP6/P1PPP1PP/R1BQKBNR w KQkq - 0 4
4,g2g4,RANDOM,0.052999999752501026,-9999,rnbqkbnr/pppp1ppp/8/8/5pP1/NP6/P1PPP2P/R1BQKBNR b KQkq g3 0 4
5,e8e7,LLAMA,994.8489999987942,-71,rnbq1bnr/ppppkppp/8/8/5pP1/NP6/P1PPP2P/R1BQKBNR w KQ - 1 5
5,a3b1,RANDOM,0.058499997976468876,-214,rnbq1bnr/ppppkppp/8/8/5pP1/1P6/P1PPP2P/RNBQKBNR b KQ - 2 5
6,e7e8,LLAMA,980.9762000004412,-208,rnbqkbnr/pppp1ppp/8/8/5pP1/1P6/P1PPP2P/RNBQKBNR w KQ - 3 6
6,g1f3,RANDOM,0.0548999996681232,-211,rnbqkbnr/pppp1ppp/8/8/5pP1/1P3N2/P1PPP2P/RNBQKB1R b KQ - 4 6
7,e8e7,LLAMA,879.9022000021068,28,rnbq1bnr/ppppkppp/8/8/5pP1/1P3N2/P1PPP2P/RNBQKB1R w KQ - 5 7
7,c1b2,RANDOM,0.06169999687699601,-8,rnbq1bnr/ppppkppp/8/8/5pP1/1P3N2/PBPPP2P/RN1QKB1R b KQ - 6 7
8,e7e8,LLAMA,903.7576999980956,-11,rnbqkbnr/pppp1ppp/8/8/5pP1/1P3N2/PBPPP2P/RN1QKB1R w KQ - 7 8
8,g4g5,RANDOM,0.14430000010179356,-38,rnbqkbnr/pppp1ppp/8/6P1/5p2/1P3N2/PBPPP2P/RN1QKB1R b KQ - 0 8
9,e8e7,LLAMA,1023.5837000000174,194,rnbq1bnr/ppppkppp/8/6P1/5p2/1P3N2/PBPPP2P/RN1QKB1R w KQ - 1 9
9,b1c3,RANDOM,0.06420000136131421,183,rnbq1bnr/ppppkppp/8/6P1/5p2/1PN2N2/PBPPP2P/R2QKB1R b KQ - 2 9
10,e7e8,LLAMA,897.7004000007582,199,rnbqkbnr/pppp1ppp/8/6P1/5p2/1PN2N2/PBPPP2P/R2QKB1R w KQ - 3 10
10,f3g1,RANDOM,0.06009999924572185,-38,rnbqkbnr/pppp1ppp/8/6P1/5p2/1PN5/PBPPP2P/R2QKBNR b KQ - 4 10
11,e8e7,LLAMA,905.0586000012117,202,rnbq1bnr/ppppkppp/8/6P1/5p2/1PN5/PBPPP2P/R2QKBNR w KQ - 5 11
11,f1g2,RANDOM,0.06550000034621917,164,rnbq1bnr/ppppkppp/8/6P1/5p2/1PN5/PBPPP1BP/R2QK1NR b KQ - 6 11
12,e7e8,LLAMA,903.6975999988499,156,rnbqkbnr/pppp1ppp/8/6P1/5p2/1PN5/PBPPP1BP/R2QK1NR w KQ - 7 12
12,a1b1,RANDOM,0.0670000008540228,-203,rnbqkbnr/pppp1ppp/8/6P1/5p2/1PN5/PBPPP1BP/1R1QK1NR b K - 8 12
13,e8e7,LLAMA,962.9805000004126,215,rnbq1bnr/ppppkppp/8/6P1/5p2/1PN5/PBPPP1BP/1R1QK1NR w K - 9 13
13,d1c1,RANDOM,0.0638999990769662,88,rnbq1bnr/ppppkppp/8/6P1/5p2/1PN5/PBPPP1BP/1RQ1K1NR b K - 10 13
14,e7e8,LLAMA,871.8737999988662,120,rnbqkbnr/pppp1ppp/8/6P1/5p2/1PN5/PBPPP1BP/1RQ1K1NR w K - 11 14
14,g2d5,RANDOM,0.07080000068526715,-208,rnbqkbnr/pppp1ppp/8/3B2P1/5p2/1PN5/PBPPP2P/1RQ1K1NR b K - 12 14
15,e8e7,LLAMA,1046.2950000001001,303,rnbq1bnr/ppppkppp/8/3B2P1/5p2/1PN5/PBPPP2P/1RQ1K1NR w K - 13 15
15,c3e4,RANDOM,0.06849999772384763,-35,rnbq1bnr/ppppkppp/8/3B2P1/4Np2/1P6/PBPPP2P/1RQ1K1NR b K - 14 15
16,e7e8,LLAMA,872.0814999978757,164,rnbqkbnr/pppp1ppp/8/3B2P1/4Np2/1P6/PBPPP2P/1RQ1K1NR w K - 15 16
16,e1f2,RANDOM,0.07950000144774094,-171,rnbqkbnr/pppp1ppp/8/3B2P1/4Np2/1P6/PBPPPK1P/1RQ3NR b - - 16 16
17,e8e7,LLAMA,1004.3864999970538,244,rnbq1bnr/ppppkppp/8/3B2P1/4Np2/1P6/PBPPPK1P/1RQ3NR w - - 17 17
17,b2d4,RANDOM,0.07869999899412505,117,rnbq1bnr/ppppkppp/8/3B2P1/3BNp2/1P6/P1PPPK1P/1RQ3NR b - - 18 17
18,e7e8,LLAMA,837.6148000024841,301,rnbqkbnr/pppp1ppp/8/3B2P1/3BNp2/1P6/P1PPPK1P/1RQ3NR w - - 19 18
18,e4c3,RANDOM,0.0839000022097025,-184,rnbqkbnr/pppp1ppp/8/3B2P1/3B1p2/1PN5/P1PPPK1P/1RQ3NR b - - 20 18
19,e8e7,LLAMA,971.1610999984259,234,rnbq1bnr/ppppkppp/8/3B2P1/3B1p2/1PN5/P1PPPK1P/1RQ3NR w - - 21 19
19,a2a3,RANDOM,0.18869999985327013,-72,rnbq1bnr/ppppkppp/8/3B2P1/3B1p2/PPN5/2PPPK1P/1RQ3NR b - - 0 19
20,e7e8,LLAMA,860.8107999971253,-27,rnbqkbnr/pppp1ppp/8/3B2P1/3B1p2/PPN5/2PPPK1P/1RQ3NR w - - 1 20
20,e2e3,RANDOM,0.08520000119460747,-123,rnbqkbnr/pppp1ppp/8/3B2P1/3B1p2/PPN1P3/2PP1K1P/1RQ3NR b - - 0 20
21,e8e7,LLAMA,928.9218000012625,217,rnbq1bnr/ppppkppp/8/3B2P1/3B1p2/PPN1P3/2PP1K1P/1RQ3NR w - - 1 21
21,c3e4,RANDOM,0.08879999950295314,-19,rnbq1bnr/ppppkppp/8/3B2P1/3BNp2/PP2P3/2PP1K1P/1RQ3NR b - - 2 21
22,e7e8,LLAMA,872.3318000011204,279,rnbqkbnr/pppp1ppp/8/3B2P1/3BNp2/PP2P3/2PP1K1P/1RQ3NR w - - 3 22
