move_number,move_uci,player_name,time_taken_ms,centipawn_score,board_fen
1,e2e4,PHI,77.28510000015376,36,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1
2,e7e6,LLAMA,8545.455799998308,45,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
2,g1h3,PHI,5329.331100001582,-58,rnbqkbnr/pppp1ppp/4p3/8/4P3/7N/PPPP1PPP/RNBQKB1R b KQkq - 1 2
3,e6e5,LLAMA,6333.526599999459,36,rnbqkbnr/pppp1ppp/8/4p3/4P3/7N/PPPP1PPP/RNBQKB1R w KQkq - 0 3
3,g2g3,PHI,3829.6340000015334,-108,rnbqkbnr/pppp1ppp/8/4p3/4P3/6PN/PPPP1P1P/RNBQKB1R b KQkq - 0 3
4,e8e7,LLAMA,6317.1757999989495,110,rnbq1bnr/ppppkppp/8/4p3/4P3/6PN/PPPP1P1P/RNBQKB1R w KQ - 1 4
4,g3g4,PHI,3928.921300001093,-43,rnbq1bnr/ppppkppp/8/4p3/4P1P1/7N/PPPP1P1P/RNBQKB1R b KQ - 0 4
5,e7e8,LLAMA,6235.033099997963,10,rnbqkbnr/pppp1ppp/8/4p3/4P1P1/7N/PPPP1P1P/RNBQKB1R w KQ - 1 5
5,g4g5,PHI,3879.04300000082,-138,rnbqkbnr/pppp1ppp/8/4p1P1/4P3/7N/PPPP1P1P/RNBQKB1R b KQ - 0 5
6,e8e7,LLAMA,6267.412299999705,129,rnbq1bnr/ppppkppp/8/4p1P1/4P3/7N/PPPP1P1P/RNBQKB1R w KQ - 1 6
6,g5g6,PHI,3879.4873999977426,-121,rnbq1bnr/ppppkppp/6P1/4p3/4P3/7N/PPPP1P1P/RNBQKB1R b KQ - 0 6
7,e7e8,LLAMA,6250.602099997195,201,rnbqkbnr/pppp1ppp/6P1/4p3/4P3/7N/PPPP1P1P/RNBQKB1R w KQ - 1 7
7,g6h7,PHI,3853.1555000008666,-44,rnbqkbnr/pppp1ppP/8/4p3/4P3/7N/PPPP1P1P/RNBQKB1R b KQ - 0 7
8,e8e7,LLAMA,6266.92809999804,448,rnbq1bnr/ppppkppP/8/4p3/4P3/7N/PPPP1P1P/RNBQKB1R w KQ - 1 8
