move_number,move_uci,player_name,time_taken_ms,centipawn_score,board_fen
1,c2c3,LLAMA-CHESS,7462.812900001154,16,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1
2,g8h6,GEMMA,37865.16489999849,85,rnbqkb1r/pppppppp/7n/8/8/2P5/PP1PPPPP/RNBQKBNR w KQkq - 1 2
2,c3c4,LLAMA-CHESS,11474.624500002392,40,rnbqkb1r/pppppppp/7n/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 2
3,h8g8,GEMMA,36163.3436000011,118,rnbqkbr1/pppppppp/7n/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3
3,c4c5,LLAMA-CHESS,11655.215699996916,-15,rnbqkbr1/pppppppp/7n/2P5/8/8/PP1PPPPP/RNBQKBNR b KQq - 0 3
4,g7g5,GEMMA,36112.922200001776,82,rnbqkbr1/pppppp1p/7n/2P3p1/8/8/PP1PPPPP/RNBQKBNR w KQq - 0 4
4,c5c6,LLAMA-CHESS,11476.619500001107,-155,rnbqkbr1/pppppp1p/2P4n/6p1/8/8/PP1PPPPP/RNBQKBNR b KQq - 0 4
5,g8h8,GEMMA,36346.36600000158,67,rnbqkb1r/pppppp1p/2P4n/6p1/8/8/PP1PPPPP/RNBQKBNR w KQq - 1 5
5,c6d7,LLAMA-CHESS,11512.38270000249,41,rnbqkb1r/pppPpp1p/7n/6p1/8/8/PP1PPPPP/RNBQKBNR b KQq - 0 5
6,c8d7,GEMMA,35954.819299997325,82,rn1qkb1r/pppbpp1p/7n/6p1/8/8/PP1PPPPP/RNBQKBNR w KQq - 0 6
6,a2a3,LLAMA-CHESS,11506.713300001138,-27,rn1qkb1r/pppbpp1p/7n/6p1/8/P7/1P1PPPPP/RNBQKBNR b KQq - 0 6
7,d7c8,GEMMA,36396.13599999939,77,rnbqkb1r/ppp1pp1p/7n/6p1/8/P7/1P1PPPPP/RNBQKBNR w KQq - 1 7
7,a1a2,LLAMA-CHESS,11507.151599998906,-70,rnbqkb1r/ppp1pp1p/7n/6p1/8/P7/RP1PPPPP/1NBQKBNR b Kq - 2 7
8,c8d7,GEMMA,36270.19790000122,74,rn1qkb1r/pppbpp1p/7n/6p1/8/P7/RP1PPPPP/1NBQKBNR w Kq - 3 8
8,a2a1,LLAMA-CHESS,11672.200700002577,-45,rn1qkb1r/pppbpp1p/7n/6p1/8/P7/1P1PPPPP/RNBQKBNR b Kq - 4 8
9,d7c8,GEMMA,36787.35799999777,63,rnbqkb1r/ppp1pp1p/7n/6p1/8/P7/1P1PPPPP/RNBQKBNR w Kq - 5 9
9,a1a2,LLAMA-CHESS,11555.301000000327,-71,rnbqkb1r/ppp1pp1p/7n/6p1/8/P7/RP1PPPPP/1NBQKBNR b Kq - 6 9
10,c8d7,GEMMA,36591.44319999905,75,rn1qkb1r/pppbpp1p/7n/6p1/8/P7/RP1PPPPP/1NBQKBNR w Kq - 7 10
10,a2a1,LLAMA-CHESS,11567.824699999619,-53,rn1qkb1r/pppbpp1p/7n/6p1/8/P7/1P1PPPPP/RNBQKBNR b Kq - 8 10
11,d7c8,GEMMA,36496.57369999841,63,rnbqkb1r/ppp1pp1p/7n/6p1/8/P7/1P1PPPPP/RNBQKBNR w Kq - 9 11
11,a1a2,LLAMA-CHESS,11598.595900002692,-67,rnbqkb1r/ppp1pp1p/7n/6p1/8/P7/RP1PPPPP/1NBQKBNR b Kq - 10 11
12,c8d7,GEMMA,36529.05559999999,78,rn1qkb1r/pppbpp1p/7n/6p1/8/P7/RP1PPPPP/1NBQKBNR w Kq - 11 12
12,a2a1,LLAMA-CHESS,11664.635500001168,-47,rn1qkb1r/pppbpp1p/7n/6p1/8/P7/1P1PPPPP/RNBQKBNR b Kq - 12 12
13,d7c8,GEMMA,36370.37809999674,67,rnbqkb1r/ppp1pp1p/7n/6p1/8/P7/1P1PPPPP/RNBQKBNR w Kq - 13 13
13,a1a2,LLAMA-CHESS,11439.563899999484,-70,rnbqkb1r/ppp1pp1p/7n/6p1/8/P7/RP1PPPPP/1NBQKBNR b Kq - 14 13
14,c8d7,GEMMA,36321.05919999958,74,rn1qkb1r/pppbpp1p/7n/6p1/8/P7/RP1PPPPP/1NBQKBNR w Kq - 15 14
14,a2a1,LLAMA-CHESS,11539.662700000918,-48,rn1qkb1r/pppbpp1p/7n/6p1/8/P7/1P1PPPPP/RNBQKBNR b Kq - 16 14
15,d7c8,GEMMA,36830.0167999987,62,rnbqkb1r/ppp1pp1p/7n/6p1/8/P7/1P1PPPPP/RNBQKBNR w Kq - 17 15
15,a1a2,LLAMA-CHESS,11556.175499998062,-71,rnbqkb1r/ppp1pp1p/7n/6p1/8/P7/RP1PPPPP/1NBQKBNR b Kq - 18 15
