move_number,move_uci,player_name,time_taken_ms,centipawn_score,board_fen
1,g1f3,GEMMA,37963.741100000334,29,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1
2,e7e6,LLAMA,13719.63709999909,34,rnbqkbnr/pppp1ppp/4p3/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2
2,f3g5,GEMMA,36313.7784999999,-394,rnbqkbnr/pppp1ppp/4p3/6N1/8/8/PPPPPPPP/RNBQKB1R b KQkq - 1 2
3,e6e5,LLAMA,12171.583800001827,-54,rnbqkbnr/pppp1ppp/8/4p1N1/8/8/PPPPPPPP/RNBQKB1R w KQkq - 0 3
3,g5h7,GEMMA,36500.903899999685,-347,rnbqkbnr/pppp1ppN/8/4p3/8/8/PPPPPPPP/RNBQKB1R b KQkq - 0 3
4,e5e4,LLAMA,12467.755500001658,192,rnbqkbnr/pppp1ppN/8/8/4p3/8/PPPPPPPP/RNBQKB1R w KQkq - 0 4
4,h7f8,GEMMA,36655.02009999909,188,rnbqkNnr/pppp1pp1/8/8/4p3/8/PPPPPPPP/RNBQKB1R b KQkq - 0 4
5,e8f8,LLAMA,12254.634100001567,199,rnbq1knr/pppp1pp1/8/8/4p3/8/PPPPPPPP/RNBQKB1R w KQ - 0 5
5,b1c3,GEMMA,35871.62779999926,156,rnbq1knr/pppp1pp1/8/8/4p3/2N5/PPPPPPPP/R1BQKB1R b KQ - 1 5
6,e4e3,LLAMA,12322.83290000123,341,rnbq1knr/pppp1pp1/8/8/8/2N1p3/PPPPPPPP/R1BQKB1R w KQ - 0 6
6,c3d5,GEMMA,36286.78330000184,31,rnbq1knr/pppp1pp1/8/3N4/8/4p3/PPPPPPPP/R1BQKB1R b KQ - 1 6
7,e3f2,LLAMA,12496.64969999867,65,rnbq1knr/pppp1pp1/8/3N4/8/8/PPPPPpPP/R1BQKB1R w KQ - 0 7
7,e1f2,GEMMA,35754.727800002,57,rnbq1knr/pppp1pp1/8/3N4/8/8/PPPPPKPP/R1BQ1B1R b - - 0 7
8,b8c6,LLAMA,12371.903600000223,76,r1bq1knr/pppp1pp1/2n5/3N4/8/8/PPPPPKPP/R1BQ1B1R w - - 1 8
8,d5e7,GEMMA,36946.356399999786,-485,r1bq1knr/ppppNpp1/2n5/8/8/8/PPPPPKPP/R1BQ1B1R b - - 2 8
9,b7b6,LLAMA,12563.77529999736,63,r1bq1knr/p1ppNpp1/1pn5/8/8/8/PPPPPKPP/R1BQ1B1R w - - 0 9
9,e7g8,GEMMA,36212.628700002824,-4,r1bq1kNr/p1pp1pp1/1pn5/8/8/8/PPPPPKPP/R1BQ1B1R b - - 0 9
10,b6b5,LLAMA,12413.963399998465,74,r1bq1kNr/p1pp1pp1/2n5/1p6/8/8/PPPPPKPP/R1BQ1B1R w - - 0 10
10,f2g3,GEMMA,36664.13270000339,-898,r1bq1kNr/p1pp1pp1/2n5/1p6/8/6K1/PPPPP1PP/R1BQ1B1R b - - 1 10
