move_number,move_uci,player_name,time_taken_ms,centipawn_score,board_fen
1,e2e4,MIXTRAL,2.9651000004378147,36,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1
2,g8h6,GEMMA,2.8695999935735017,119,rnbqkb1r/pppppppp/7n/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2
2,e4e5,MIXTRAL,49032.56820000388,-4,rnbqkb1r/pppppppp/7n/4P3/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2
3,h8g8,GEMMA,37341.09609999723,112,rnbqkbr1/pppppppp/7n/4P3/8/8/PPPP1PPP/RNBQKBNR w KQq - 1 3
3,f1b5,MIXTRAL,47634.53490000393,16,rnbqkbr1/pppppppp/7n/1B2P3/8/8/PPPP1PPP/RNBQK1NR b KQq - 2 3
4,g8h8,GEMMA,37222.08889999456,109,rnbqkb1r/pppppppp/7n/1B2P3/8/8/PPPP1PPP/RNBQK1NR w KQq - 3 4
4,b5c6,MIXTRAL,47295.768700001645,-410,rnbqkb1r/pppppppp/2B4n/4P3/8/8/PPPP1PPP/RNBQK1NR b KQq - 4 4
5,h6g8,GEMMA,36796.817499998724,82,rnbqkbnr/pppppppp/2B5/4P3/8/8/PPPP1PPP/RNBQK1NR w KQq - 5 5
5,c6d5,MIXTRAL,77793.49589999038,48,rnbqkbnr/pppppppp/8/3BP3/8/8/PPPP1PPP/RNBQK1NR b KQq - 6 5
6,g8h6,GEMMA,37296.16990000068,107,rnbqkb1r/pppppppp/7n/3BP3/8/8/PPPP1PPP/RNBQK1NR w KQq - 7 6
6,d5f7,MIXTRAL,48128.540400008205,-315,rnbqkb1r/pppppBpp/7n/4P3/8/8/PPPP1PPP/RNBQK1NR b KQq - 0 6
7,h6f7,GEMMA,36420.27209998923,-322,rnbqkb1r/pppppnpp/8/4P3/8/8/PPPP1PPP/RNBQK1NR w KQq - 0 7
7,d1h5,MIXTRAL,47270.21689999674,-439,rnbqkb1r/pppppnpp/8/4P2Q/8/8/PPPP1PPP/RNB1K1NR b KQq - 1 7
8,b8c6,GEMMA,36721.28579999844,-407,r1bqkb1r/pppppnpp/2n5/4P2Q/8/8/PPPP1PPP/RNB1K1NR w KQq - 2 8
8,h5h6,MIXTRAL,47437.50369999907,-798,r1bqkb1r/pppppnpp/2n4Q/4P3/8/8/PPPP1PPP/RNB1K1NR b KQq - 3 8
9,f7h6,GEMMA,36963.334999993094,-769,r1bqkb1r/ppppp1pp/2n4n/4P3/8/8/PPPP1PPP/RNB1K1NR w KQq - 0 9
9,g1f3,MIXTRAL,47644.971100002294,-777,r1bqkb1r/ppppp1pp/2n4n/4P3/8/5N2/PPPP1PPP/RNB1K2R b KQq - 1 9
10,h6g8,GEMMA,36812.78690000181,-716,r1bqkbnr/ppppp1pp/2n5/4P3/8/5N2/PPPP1PPP/RNB1K2R w KQq - 2 10
10,f3g5,MIXTRAL,47762.34970000223,-779,r1bqkbnr/ppppp1pp/2n5/4P1N1/8/8/PPPP1PPP/RNB1K2R b KQq - 3 10
11,c6b8,GEMMA,37029.48530000867,-663,rnbqkbnr/ppppp1pp/8/4P1N1/8/8/PPPP1PPP/RNB1K2R w KQq - 4 11
11,g5h7,MIXTRAL,47395.47029999085,-838,rnbqkbnr/ppppp1pN/8/4P3/8/8/PPPP1PPP/RNB1K2R b KQq - 0 11
12,h8h7,GEMMA,36878.84770000528,-803,rnbqkbn1/ppppp1pr/8/4P3/8/8/PPPP1PPP/RNB1K2R w KQq - 0 12
12,e1e2,MIXTRAL,47679.145300004166,-901,rnbqkbn1/ppppp1pr/8/4P3/8/8/PPPPKPPP/RNB4R b q - 1 12
13,g8h6,GEMMA,36996.8102999992,-879,rnbqkb2/ppppp1pr/7n/4P3/8/8/PPPPKPPP/RNB4R w q - 2 13
13,e2e3,MIXTRAL,52778.42970000347,-939,rnbqkb2/ppppp1pr/7n/4P3/8/4K3/PPPP1PPP/RNB4R b q - 3 13
14,h7h8,GEMMA,36872.36199999461,-900,rnbqkb1r/ppppp1p1/7n/4P3/8/4K3/PPPP1PPP/RNB4R w q - 4 14
14,e3e4,MIXTRAL,47645.81600000383,-969,rnbqkb1r/ppppp1p1/7n/4P3/4K3/8/PPPP1PPP/RNB4R b q - 5 14
15,h8g8,GEMMA,36988.03549999138,-933,rnbqkbr1/ppppp1p1/7n/4P3/4K3/8/PPPP1PPP/RNB4R w q - 6 15
15,e4d5,MIXTRAL,56045.604900005856,-1098,rnbqkbr1/ppppp1p1/7n/3KP3/8/8/PPPP1PPP/RNB4R b q - 7 15
16,g8h8,GEMMA,38095.23379999155,-976,rnbqkb1r/ppppp1p1/7n/3KP3/8/8/PPPP1PPP/RNB4R w q - 8 16
16,d5c5,MIXTRAL,56503.11989999318,-1105,rnbqkb1r/ppppp1p1/7n/2K1P3/8/8/PPPP1PPP/RNB4R b q - 9 16
17,h8g8,GEMMA,38637.548600003356,-1015,rnbqkbr1/ppppp1p1/7n/2K1P3/8/8/PPPP1PPP/RNB4R w q - 10 17
17,c5d5,MIXTRAL,53536.76820000692,-1049,rnbqkbr1/ppppp1p1/7n/3KP3/8/8/PPPP1PPP/RNB4R b q - 11 17
18,g8h8,GEMMA,37462.59799999825,-965,rnbqkb1r/ppppp1p1/7n/3KP3/8/8/PPPP1PPP/RNB4R w q - 12 18
18,d5c5,MIXTRAL,102075.2005999966,-1155,rnbqkb1r/ppppp1p1/7n/2K1P3/8/8/PPPP1PPP/RNB4R b q - 13 18
19,h8g8,GEMMA,36904.50689999852,0,rnbqkbr1/ppppp1p1/7n/2K1P3/8/8/PPPP1PPP/RNB4R w q - 14 19
19,c5d5,MIXTRAL,58712.15329998813,-1059,rnbqkbr1/ppppp1p1/7n/3KP3/8/8/PPPP1PPP/RNB4R b q - 15 19
20,g8h8,GEMMA,36694.38679999439,0,rnbqkb1r/ppppp1p1/7n/3KP3/8/8/PPPP1PPP/RNB4R w q - 16 20
20,d5c5,MIXTRAL,58105.262299999595,-1133,rnbqkb1r/ppppp1p1/7n/2K1P3/8/8/PPPP1PPP/RNB4R b q - 17 20
21,h8g8,GEMMA,36914.223600004334,0,rnbqkbr1/ppppp1p1/7n/2K1P3/8/8/PPPP1PPP/RNB4R w q - 18 21
21,c5d5,MIXTRAL,53652.20580001187,-1063,rnbqkbr1/ppppp1p1/7n/3KP3/8/8/PPPP1PPP/RNB4R b q - 19 21
22,g8h8,GEMMA,36654.50540000165,0,rnbqkb1r/ppppp1p1/7n/3KP3/8/8/PPPP1PPP/RNB4R w q - 20 22
22,d5c5,MIXTRAL,56270.217100012815,-1146,rnbqkb1r/ppppp1p1/7n/2K1P3/8/8/PPPP1PPP/RNB4R b q - 21 22
23,h8g8,GEMMA,36671.26279999502,0,rnbqkbr1/ppppp1p1/7n/2K1P3/8/8/PPPP1PPP/RNB4R w q - 22 23
23,c5d5,MIXTRAL,47886.57109999622,-1064,rnbqkbr1/ppppp1p1/7n/3KP3/8/8/PPPP1PPP/RNB4R b q - 23 23
