move_number,move_uci,player_name,time_taken_ms,centipawn_score,board_fen
1,g1f3,GEMMA,72.06639999640174,29,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1
2,g7g5,RANDOM,0.054800009820610285,149,rnbqkbnr/pppppp1p/8/6p1/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2
2,f3g5,GEMMA,36653.32750001107,149,rnbqkbnr/pppppp1p/8/6N1/8/8/PPPPPPPP/RNBQKB1R b KQkq - 0 2
3,d7d6,RANDOM,0.055500000598840415,211,rnbqkbnr/ppp1pp1p/3p4/6N1/8/8/PPPPPPPP/RNBQKB1R w KQkq - 0 3
3,g5h7,GEMMA,7047.90759999014,-234,rnbqkbnr/ppp1pp1N/3p4/8/8/8/PPPPPPPP/RNBQKB1R b KQkq - 0 3
4,g8f6,RANDOM,0.061400001868605614,266,rnbqkb1r/ppp1pp1N/3p1n2/8/8/8/PPPPPPPP/RNBQKB1R w KQkq - 1 4
4,h7f8,GEMMA,6963.695999991614,208,rnbqkN1r/ppp1pp2/3p1n2/8/8/8/PPPPPPPP/RNBQKB1R b KQkq - 0 4
5,f6h5,RANDOM,0.07159999222494662,318,rnbqkN1r/ppp1pp2/3p4/7n/8/8/PPPPPPPP/RNBQKB1R w KQkq - 1 5
5,f8h7,GEMMA,7029.2901000066195,291,rnbqk2r/ppp1pp1N/3p4/7n/8/8/PPPPPPPP/RNBQKB1R b KQkq - 2 5
6,f7f5,RANDOM,0.07100000220816582,444,rnbqk2r/ppp1p2N/3p4/5p1n/8/8/PPPPPPPP/RNBQKB1R w KQkq - 0 6
6,h7f8,GEMMA,6945.6715999986045,283,rnbqkN1r/ppp1p3/3p4/5p1n/8/8/PPPPPPPP/RNBQKB1R b KQkq - 1 6
7,h5f6,RANDOM,0.06810000922996551,416,rnbqkN1r/ppp1p3/3p1n2/5p2/8/8/PPPPPPPP/RNBQKB1R w KQkq - 2 7
7,f8h7,GEMMA,6880.929999999353,232,rnbqk2r/ppp1p2N/3p1n2/5p2/8/8/PPPPPPPP/RNBQKB1R b KQkq - 3 7
8,h8f8,RANDOM,0.07490000280085951,590,rnbqkr2/ppp1p2N/3p1n2/5p2/8/8/PPPPPPPP/RNBQKB1R w KQq - 4 8
8,h7f8,GEMMA,6939.2099999968195,609,rnbqkN2/ppp1p3/3p1n2/5p2/8/8/PPPPPPPP/RNBQKB1R b KQq - 0 8
9,e7e6,RANDOM,0.06459999713115394,687,rnbqkN2/ppp5/3ppn2/5p2/8/8/PPPPPPPP/RNBQKB1R w KQq - 0 9
9,f8h7,GEMMA,6930.253600003198,626,rnbqk3/ppp4N/3ppn2/5p2/8/8/PPPPPPPP/RNBQKB1R b KQq - 1 9
10,f6d7,RANDOM,0.06459999713115394,764,rnbqk3/pppn3N/3pp3/5p2/8/8/PPPPPPPP/RNBQKB1R w KQq - 2 10
10,h7f8,GEMMA,7171.743400002015,623,rnbqkN2/pppn4/3pp3/5p2/8/8/PPPPPPPP/RNBQKB1R b KQq - 3 10
11,d8g5,RANDOM,0.06299999949987978,789,rnb1kN2/pppn4/3pp3/5pq1/8/8/PPPPPPPP/RNBQKB1R w KQq - 4 11
11,f8h7,GEMMA,7139.051899997867,604,rnb1k3/pppn3N/3pp3/5pq1/8/8/PPPPPPPP/RNBQKB1R b KQq - 5 11
12,g5g3,RANDOM,0.07170000753831118,995,rnb1k3/pppn3N/3pp3/5p2/8/6q1/PPPPPPPP/RNBQKB1R w KQq - 6 12
12,h7f8,GEMMA,6930.775700006052,727,rnb1kN2/pppn4/3pp3/5p2/8/6q1/PPPPPPPP/RNBQKB1R b KQq - 7 12
13,d7e5,RANDOM,0.07069999992381781,935,rnb1kN2/ppp5/3pp3/4np2/8/6q1/PPPPPPPP/RNBQKB1R w KQq - 8 13
13,f8h7,GEMMA,7055.577300008736,646,rnb1k3/ppp4N/3pp3/4np2/8/6q1/PPPPPPPP/RNBQKB1R b KQq - 9 13
14,e5g6,RANDOM,0.07870000263210386,1010,rnb1k3/ppp4N/3pp1n1/5p2/8/6q1/PPPPPPPP/RNBQKB1R w KQq - 10 14
14,h7f8,GEMMA,6896.972200003802,741,rnb1kN2/ppp5/3pp1n1/5p2/8/6q1/PPPPPPPP/RNBQKB1R b KQq - 11 14
15,e8f7,RANDOM,0.07890000415500253,939,rnb2N2/ppp2k2/3pp1n1/5p2/8/6q1/PPPPPPPP/RNBQKB1R w KQ - 12 15
15,f8h7,GEMMA,7080.842100011068,613,rnb5/ppp2k1N/3pp1n1/5p2/8/6q1/PPPPPPPP/RNBQKB1R b KQ - 13 15
16,g6e7,RANDOM,0.18709999858401716,1049,rnb5/ppp1nk1N/3pp3/5p2/8/6q1/PPPPPPPP/RNBQKB1R w KQ - 14 16
16,h7f8,GEMMA,6856.135800000629,634,rnb2N2/ppp1nk2/3pp3/5p2/8/6q1/PPPPPPPP/RNBQKB1R b KQ - 15 16
17,g3g2,RANDOM,0.07870000263210386,892,rnb2N2/ppp1nk2/3pp3/5p2/8/8/PPPPPPqP/RNBQKB1R w KQ - 0 17
17,f8h7,GEMMA,7163.024599998607,368,rnb5/ppp1nk1N/3pp3/5p2/8/8/PPPPPPqP/RNBQKB1R b KQ - 1 17
18,g2f2,RANDOM,0.07679998816456646,868,rnb5/ppp1nk1N/3pp3/5p2/8/8/PPPPPq1P/RNBQKB1R w KQ - 0 18
18,e1f2,GEMMA,6596.8725999991875,879,rnb5/ppp1nk1N/3pp3/5p2/8/8/PPPPPK1P/RNBQ1B1R b - - 0 18
