move_number,move_uci,player_name,time_taken_ms,centipawn_score,board_fen
1,e2e3,RANDOM,0.08610000077169389,18,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1
2,g8h6,PHI,5506.785600002331,60,rnbqkb1r/pppppppp/7n/8/8/4P3/PPPP1PPP/RNBQKBNR w KQkq - 1 2
2,a2a4,RANDOM,0.06740000389982015,38,rnbqkb1r/pppppppp/7n/8/P7/4P3/1PPP1PPP/RNBQKBNR b KQkq - 0 2
3,g7g6,PHI,432.69929999951273,41,rnbqkb1r/pppppp1p/6pn/8/P7/4P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3
3,h2h4,RANDOM,0.07280000136233866,28,rnbqkb1r/pppppp1p/6pn/8/P6P/4P3/1PPP1PP1/RNBQKBNR b KQkq - 0 3
4,g6g5,PHI,404.9592000010307,287,rnbqkb1r/pppppp1p/7n/6p1/P6P/4P3/1PPP1PP1/RNBQKBNR w KQkq - 0 4
4,g1h3,RANDOM,0.06420000136131421,74,rnbqkb1r/pppppp1p/7n/6p1/P6P/4P2N/1PPP1PP1/RNBQKB1R b KQkq - 1 4
5,g5g4,PHI,390.5966999955126,128,rnbqkb1r/pppppp1p/7n/8/P5pP/4P2N/1PPP1PP1/RNBQKB1R w KQkq - 0 5
5,e3e4,RANDOM,0.07229999755509198,-264,rnbqkb1r/pppppp1p/7n/8/P3P1pP/7N/1PPP1PP1/RNBQKB1R b KQkq - 0 5
6,g4g3,PHI,372.1616999973776,182,rnbqkb1r/pppppp1p/7n/8/P3P2P/6pN/1PPP1PP1/RNBQKB1R w KQkq - 0 6
6,e1e2,RANDOM,0.06630000279983506,-106,rnbqkb1r/pppppp1p/7n/8/P3P2P/6pN/1PPPKPP1/RNBQ1B1R b kq - 1 6
7,g3f2,PHI,485.74270000244724,-34,rnbqkb1r/pppppp1p/7n/8/P3P2P/7N/1PPPKpP1/RNBQ1B1R w kq - 0 7
7,a1a2,RANDOM,0.07000000186963007,-218,rnbqkb1r/pppppp1p/7n/8/P3P2P/7N/RPPPKpP1/1NBQ1B1R b kq - 1 7
8,f7f6,PHI,565.8474999945611,57,rnbqkb1r/ppppp2p/5p1n/8/P3P2P/7N/RPPPKpP1/1NBQ1B1R w kq - 0 8
8,d2d4,RANDOM,0.06929999653948471,-68,rnbqkb1r/ppppp2p/5p1n/8/P2PP2P/7N/RPP1KpP1/1NBQ1B1R b kq - 0 8
9,e7e5,PHI,622.3037999952794,59,rnbqkb1r/pppp3p/5p1n/4p3/P2PP2P/7N/RPP1KpP1/1NBQ1B1R w kq - 0 9
9,a4a5,RANDOM,0.07580000237794593,-64,rnbqkb1r/pppp3p/5p1n/P3p3/3PP2P/7N/RPP1KpP1/1NBQ1B1R b kq - 0 9
10,e8f7,PHI,588.0212999982177,210,rnbq1b1r/pppp1k1p/5p1n/P3p3/3PP2P/7N/RPP1KpP1/1NBQ1B1R w - - 1 10
10,g2g3,RANDOM,0.07249999907799065,-14,rnbq1b1r/pppp1k1p/5p1n/P3p3/3PP2P/6PN/RPP1Kp2/1NBQ1B1R b - - 0 10
