move_number,move_uci,player_name,time_taken_ms,centipawn_score,board_fen
1,e2e4,PHI,42.320100001234096,46,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1
2,e7e6,LLAMA,141.3503000003402,32,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
2,g1h3,PHI,51.41709999952582,-63,rnbqkbnr/pppp1ppp/4p3/8/4P3/7N/PPPP1PPP/RNBQKB1R b KQkq - 1 2
3,e6e5,LLAMA,18.212700000731274,41,rnbqkbnr/pppp1ppp/8/4p3/4P3/7N/PPPP1PPP/RNBQKB1R w KQkq - 0 3
3,g2g3,PHI,3.792899999098154,-118,rnbqkbnr/pppp1ppp/8/4p3/4P3/6PN/PPPP1P1P/RNBQKB1R b KQkq - 0 3
4,e8e7,LLAMA,12.226700000610435,118,rnbq1bnr/ppppkppp/8/4p3/4P3/6PN/PPPP1P1P/RNBQKB1R w KQ - 1 4
4,g3g4,PHI,2.6390999992145225,-37,rnbq1bnr/ppppkppp/8/4p3/4P1P1/7N/PPPP1P1P/RNBQKB1R b KQ - 0 4
5,e7e8,LLAMA,37.070299997139955,23,rnbqkbnr/pppp1ppp/8/4p3/4P1P1/7N/PPPP1P1P/RNBQKB1R w KQ - 1 5
5,g4g5,PHI,4.199300001346273,-149,rnbqkbnr/pppp1ppp/8/4p1P1/4P3/7N/PPPP1P1P/RNBQKB1R b KQ - 0 5
6,e8e7,LLAMA,7.463699999789242,133,rnbq1bnr/ppppkppp/8/4p1P1/4P3/7N/PPPP1P1P/RNBQKB1R w KQ - 1 6
6,g5g6,PHI,3.07990000146674,-112,rnbq1bnr/ppppkppp/6P1/4p3/4P3/7N/PPPP1P1P/RNBQKB1R b KQ - 0 6
7,e7e8,LLAMA,16.972000001260312,169,rnbqkbnr/pppp1ppp/6P1/4p3/4P3/7N/PPPP1P1P/RNBQKB1R w KQ - 1 7
7,g6h7,PHI,3.352299998368835,-44,rnbqkbnr/pppp1ppP/8/4p3/4P3/7N/PPPP1P1P/RNBQKB1R b KQ - 0 7
8,e8e7,LLAMA,3.1018000008771196,463,rnbq1bnr/ppppkppP/8/4p3/4P3/7N/PPPP1P1P/RNBQKB1R w KQ - 1 8
8,h7g8q,PHI,3.12599999961094,449,rnbq1bQr/ppppkpp1/8/4p3/4P3/7N/PPPP1P1P/RNBQKB1R b KQ - 0 8
9,e7e8,LLAMA,18.621499999426305,801,rnbqkbQr/pppp1pp1/8/4p3/4P3/7N/PPPP1P1P/RNBQKB1R w KQ - 1 9
9,g8h8,PHI,32.047200002125464,833,rnbqkb1Q/pppp1pp1/8/4p3/4P3/7N/PPPP1P1P/RNBQKB1R b KQ - 0 9
10,e8e7,LLAMA,3.9926999997987878,988,rnbq1b1Q/ppppkpp1/8/4p3/4P3/7N/PPPP1P1P/RNBQKB1R w KQ - 1 10
10,d2d4,PHI,29.027500000665896,1015,rnbq1b1Q/ppppkpp1/8/4p3/3PP3/7N/PPP2P1P/RNBQKB1R b KQ - 0 10
11,d8e8,LLAMA,11.961399999563582,1048,rnb1qb1Q/ppppkpp1/8/4p3/3PP3/7N/PPP2P1P/RNBQKB1R w KQ - 1 11
11,h8g8,PHI,11.563399999431567,931,rnb1qbQ1/ppppkpp1/8/4p3/3PP3/7N/PPP2P1P/RNBQKB1R b KQ - 2 11
12,e7f6,LLAMA,13.372000001254492,9993,rnb1qbQ1/pppp1pp1/5k2/4p3/3PP3/7N/PPP2P1P/RNBQKB1R w KQ - 3 12
12,g8h8,PHI,4.18329999956768,912,rnb1qb1Q/pppp1pp1/5k2/4p3/3PP3/7N/PPP2P1P/RNBQKB1R b KQ - 4 12
13,e8d8,LLAMA,3.4109999978682026,9993,rnbq1b1Q/pppp1pp1/5k2/4p3/3PP3/7N/PPP2P1P/RNBQKB1R w KQ - 5 13
13,h8f8,PHI,3.918800000974443,985,rnbq1Q2/pppp1pp1/5k2/4p3/3PP3/7N/PPP2P1P/RNBQKB1R b KQ - 0 13
14,d8e8,LLAMA,5.328300001565367,9998,rnb1qQ2/pppp1pp1/5k2/4p3/3PP3/7N/PPP2P1P/RNBQKB1R w KQ - 1 14
14,f1e2,PHI,3.7272000008670148,947,rnb1qQ2/pppp1pp1/5k2/4p3/3PP3/7N/PPP1BP1P/RNBQK2R b KQ - 2 14
15,e8f8,LLAMA,16.2328999977035,945,rnb2q2/pppp1pp1/5k2/4p3/3PP3/7N/PPP1BP1P/RNBQK2R w KQ - 0 15
15,e2g4,PHI,49.79570000068634,855,rnb2q2/pppp1pp1/5k2/4p3/3PP1B1/7N/PPP2P1P/RNBQK2R b KQ - 1 15
16,f8h8,LLAMA,15.478100001928397,9998,rnb4q/pppp1pp1/5k2/4p3/3PP1B1/7N/PPP2P1P/RNBQK2R w KQ - 2 16
16,g4d7,PHI,9.453899998334236,672,rnb4q/pppB1pp1/5k2/4p3/3PP3/7N/PPP2P1P/RNBQK2R b KQ - 0 16
17,e5d4,LLAMA,30.03319999697851,898,rnb4q/pppB1pp1/5k2/8/3pP3/7N/PPP2P1P/RNBQK2R w KQ - 0 17
17,d1d2,PHI,3.720400000020163,753,rnb4q/pppB1pp1/5k2/8/3pP3/7N/PPPQ1P1P/RNB1K2R b KQ - 1 17
18,b8d7,LLAMA,3.4994999987247866,743,r1b4q/pppn1pp1/5k2/8/3pP3/7N/PPPQ1P1P/RNB1K2R w KQ - 0 18
18,e4e5,PHI,24.563399998442037,517,r1b4q/pppn1pp1/5k2/4P3/3p4/7N/PPPQ1P1P/RNB1K2R b KQ - 0 18
19,f6e7,LLAMA,50.02999999851454,518,r1b4q/pppnkpp1/8/4P3/3p4/7N/PPPQ1P1P/RNB1K2R w KQ - 1 19
19,e1e2,PHI,2.788199999486096,311,r1b4q/pppnkpp1/8/4P3/3p4/7N/PPPQKP1P/RNB4R b - - 2 19
20,e7f8,LLAMA,7.0487000011780765,392,r1b2k1q/pppn1pp1/8/4P3/3p4/7N/PPPQKP1P/RNB4R w - - 3 20
20,e2e1,PHI,15.656100000342121,321,r1b2k1q/pppn1pp1/8/4P3/3p4/7N/PPPQ1P1P/RNB1K2R b - - 4 20
21,b7b5,LLAMA,16.794400002254406,479,r1b2k1q/p1pn1pp1/8/1p2P3/3p4/7N/PPPQ1P1P/RNB1K2R w - - 0 21
21,e1e2,PHI,3.5146000009262934,162,r1b2k1q/p1pn1pp1/8/1p2P3/3p4/7N/PPPQKP1P/RNB4R b - - 1 21
22,b5b4,LLAMA,5.677800003468292,292,r1b2k1q/p1pn1pp1/8/4P3/1p1p4/7N/PPPQKP1P/RNB4R w - - 0 22
22,e2e1,PHI,4.819600002520019,176,r1b2k1q/p1pn1pp1/8/4P3/1p1p4/7N/PPPQ1P1P/RNB1K2R b - - 1 22
23,b4b3,LLAMA,3.174199999193661,444,r1b2k1q/p1pn1pp1/8/4P3/3p4/1p5N/PPPQ1P1P/RNB1K2R w - - 0 23
23,e1e2,PHI,3.5807999993267003,-82,r1b2k1q/p1pn1pp1/8/4P3/3p4/1p5N/PPPQKP1P/RNB4R b - - 1 23
24,b3c2,LLAMA,3.478200000245124,141,r1b2k1q/p1pn1pp1/8/4P3/3p4/7N/PPpQKP1P/RNB4R w - - 0 24
24,e2e1,PHI,3.885999998601619,-295,r1b2k1q/p1pn1pp1/8/4P3/3p4/7N/PPpQ1P1P/RNB1K2R b - - 1 24
25,c2b1q,LLAMA,15.22330000079819,-294,r1b2k1q/p1pn1pp1/8/4P3/3p4/7N/PP1Q1P1P/RqB1K2R w - - 0 25
25,d2e3,PHI,3.281299999798648,-677,r1b2k1q/p1pn1pp1/8/4P3/3p4/4Q2N/PP3P1P/RqB1K2R b - - 1 25
26,b1h7,LLAMA,4.545300002064323,-480,r1b2k1q/p1pn1ppq/8/4P3/3p4/4Q2N/PP3P1P/R1B1K2R w - - 2 26
26,e3e4,PHI,3.0139999980747234,-9990,r1b2k1q/p1pn1ppq/8/4P3/3pQ3/7N/PP3P1P/R1B1K2R b - - 3 26
27,d7b8,LLAMA,3.7302999990060925,-363,rnb2k1q/p1p2ppq/8/4P3/3pQ3/7N/PP3P1P/R1B1K2R w - - 4 27
27,e4e2,PHI,3.9649000027566217,-551,rnb2k1q/p1p2ppq/8/4P3/3p4/7N/PP2QP1P/R1B1K2R b - - 5 27
28,b8d7,LLAMA,3.473900000244612,-429,r1b2k1q/p1pn1ppq/8/4P3/3p4/7N/PP2QP1P/R1B1K2R w - - 6 28
28,e2e4,PHI,5.4579999996349216,-9993,r1b2k1q/p1pn1ppq/8/4P3/3pQ3/7N/PP3P1P/R1B1K2R b - - 7 28
29,d7b8,LLAMA,3.564599999663187,-357,rnb2k1q/p1p2ppq/8/4P3/3pQ3/7N/PP3P1P/R1B1K2R w - - 8 29
29,e4e2,PHI,3.0443000032391865,-550,rnb2k1q/p1p2ppq/8/4P3/3p4/7N/PP2QP1P/R1B1K2R b - - 9 29
30,b8d7,LLAMA,7.230600000184495,0,r1b2k1q/p1pn1ppq/8/4P3/3p4/7N/PP2QP1P/R1B1K2R w - - 10 30
30,e2e4,PHI,2.667600001586834,-9993,r1b2k1q/p1pn1ppq/8/4P3/3pQ3/7N/PP3P1P/R1B1K2R b - - 11 30
31,d7b8,LLAMA,3.0979999974078964,0,rnb2k1q/p1p2ppq/8/4P3/3pQ3/7N/PP3P1P/R1B1K2R w - - 12 31
31,e4e2,PHI,2.9794000001857057,-619,rnb2k1q/p1p2ppq/8/4P3/3p4/7N/PP2QP1P/R1B1K2R b - - 13 31
32,b8d7,LLAMA,2.754699999059085,0,r1b2k1q/p1pn1ppq/8/4P3/3p4/7N/PP2QP1P/R1B1K2R w - - 14 32
32,e2e4,PHI,3.2646999970893376,-9993,r1b2k1q/p1pn1ppq/8/4P3/3pQ3/7N/PP3P1P/R1B1K2R b - - 15 32
33,d7b8,LLAMA,4.050799998367438,0,rnb2k1q/p1p2ppq/8/4P3/3pQ3/7N/PP3P1P/R1B1K2R w - - 16 33
33,e4e2,PHI,3.3440000006521586,-607,rnb2k1q/p1p2ppq/8/4P3/3p4/7N/PP2QP1P/R1B1K2R b - - 17 33
34,b8d7,LLAMA,5.715600000257837,0,r1b2k1q/p1pn1ppq/8/4P3/3p4/7N/PP2QP1P/R1B1K2R w - - 18 34
34,e2e4,PHI,2.7158999982930254,-9993,r1b2k1q/p1pn1ppq/8/4P3/3pQ3/7N/PP3P1P/R1B1K2R b - - 19 34
