move_number,move_uci,player_name,time_taken_ms,centipawn_score,board_fen
1,c2c3,LLAMA-CHESS,93.98420000070473,9,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1
2,e7e6,LLAMA,10239.133900002344,24,rnbqkbnr/pppp1ppp/4p3/8/8/2P5/PP1PPPPP/RNBQKBNR w KQkq - 0 2
2,c3c4,LLAMA-CHESS,10603.035300002375,-36,rnbqkbnr/pppp1ppp/4p3/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 2
3,e6e5,LLAMA,1720.66790000099,8,rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 3
3,c4c5,LLAMA-CHESS,1272.915200002899,-189,rnbqkbnr/pppp1ppp/8/2P1p3/8/8/PP1PPPPP/RNBQKBNR b KQkq - 0 3
4,e5e4,LLAMA,1622.4676000019826,-58,rnbqkbnr/pppp1ppp/8/2P5/4p3/8/PP1PPPPP/RNBQKBNR w KQkq - 0 4
4,c5c6,LLAMA-CHESS,1195.1474999987113,-201,rnbqkbnr/pppp1ppp/2P5/8/4p3/8/PP1PPPPP/RNBQKBNR b KQkq - 0 4
5,e4e3,LLAMA,1706.7052999991574,37,rnbqkbnr/pppp1ppp/2P5/8/8/4p3/PP1PPPPP/RNBQKBNR w KQkq - 0 5
5,c6b7,LLAMA-CHESS,1386.191699999472,-99,rnbqkbnr/pPpp1ppp/8/8/8/4p3/PP1PPPPP/RNBQKBNR b KQkq - 0 5
6,e3f2,LLAMA,1760.7525999992504,-100,rnbqkbnr/pPpp1ppp/8/8/8/8/PP1PPpPP/RNBQKBNR w KQkq - 0 6
6,e1f2,LLAMA-CHESS,1496.8176000002131,-106,rnbqkbnr/pPpp1ppp/8/8/8/8/PP1PPKPP/RNBQ1BNR b kq - 0 6
7,e8e7,LLAMA,1625.1731000011205,532,rnbq1bnr/pPppkppp/8/8/8/8/PP1PPKPP/RNBQ1BNR w - - 1 7
7,a2a3,LLAMA-CHESS,1455.151800000749,13,rnbq1bnr/pPppkppp/8/8/8/P7/1P1PPKPP/RNBQ1BNR b - - 0 7
8,e7e8,LLAMA,1555.0632000013138,592,rnbqkbnr/pPpp1ppp/8/8/8/P7/1P1PPKPP/RNBQ1BNR w - - 1 8
8,a3a4,LLAMA-CHESS,1380.3587000002153,-99,rnbqkbnr/pPpp1ppp/8/8/P7/8/1P1PPKPP/RNBQ1BNR b - - 0 8
9,e8e7,LLAMA,1595.1176999988093,676,rnbq1bnr/pPppkppp/8/8/P7/8/1P1PPKPP/RNBQ1BNR w - - 1 9
9,a1a2,LLAMA-CHESS,1460.3299999980663,-96,rnbq1bnr/pPppkppp/8/8/P7/8/RP1PPKPP/1NBQ1BNR b - - 2 9
10,e7e8,LLAMA,1521.361799997976,610,rnbqkbnr/pPpp1ppp/8/8/P7/8/RP1PPKPP/1NBQ1BNR w - - 3 10
10,a2a3,LLAMA-CHESS,1365.5866000008245,-150,rnbqkbnr/pPpp1ppp/8/8/P7/R7/1P1PPKPP/1NBQ1BNR b - - 4 10
11,e8e7,LLAMA,1639.4648999994388,858,rnbq1bnr/pPppkppp/8/8/P7/R7/1P1PPKPP/1NBQ1BNR w - - 5 11
11,a3a2,LLAMA-CHESS,1660.627099998237,-98,rnbq1bnr/pPppkppp/8/8/P7/8/RP1PPKPP/1NBQ1BNR b - - 6 11
12,e7e8,LLAMA,1514.6487999991223,642,rnbqkbnr/pPpp1ppp/8/8/P7/8/RP1PPKPP/1NBQ1BNR w - - 7 12
12,a2a3,LLAMA-CHESS,1567.27200000023,-157,rnbqkbnr/pPpp1ppp/8/8/P7/R7/1P1PPKPP/1NBQ1BNR b - - 8 12
13,e8e7,LLAMA,1687.8016000009666,840,rnbq1bnr/pPppkppp/8/8/P7/R7/1P1PPKPP/1NBQ1BNR w - - 9 13
13,a3a2,LLAMA-CHESS,1589.515499999834,-110,rnbq1bnr/pPppkppp/8/8/P7/8/RP1PPKPP/1NBQ1BNR b - - 10 13
14,e7e8,LLAMA,1486.2605999987863,628,rnbqkbnr/pPpp1ppp/8/8/P7/8/RP1PPKPP/1NBQ1BNR w - - 11 14
14,a2a3,LLAMA-CHESS,1715.4362000001129,-139,rnbqkbnr/pPpp1ppp/8/8/P7/R7/1P1PPKPP/1NBQ1BNR b - - 12 14
15,e8e7,LLAMA,1660.6709000006958,826,rnbq1bnr/pPppkppp/8/8/P7/R7/1P1PPKPP/1NBQ1BNR w - - 13 15
15,a3a2,LLAMA-CHESS,1637.1646000006876,-108,rnbq1bnr/pPppkppp/8/8/P7/8/RP1PPKPP/1NBQ1BNR b - - 14 15
16,e7e8,LLAMA,1583.2989000009547,640,rnbqkbnr/pPpp1ppp/8/8/P7/8/RP1PPKPP/1NBQ1BNR w - - 15 16
16,a2a3,LLAMA-CHESS,1486.1722999994527,-131,rnbqkbnr/pPpp1ppp/8/8/P7/R7/1P1PPKPP/1NBQ1BNR b - - 16 16
17,e8e7,LLAMA,1597.07939999862,813,rnbq1bnr/pPppkppp/8/8/P7/R7/1P1PPKPP/1NBQ1BNR w - - 17 17
17,a3a2,LLAMA-CHESS,1405.971899999713,-99,rnbq1bnr/pPppkppp/8/8/P7/8/RP1PPKPP/1NBQ1BNR b - - 18 17
