move_number,move_uci,player_name,time_taken_ms,centipawn_score,board_fen
1,c2c3,LLAMA-CHESS,144.31840000179363,16,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1
2,d7d6,RANDOM,0.06260000009206124,35,rnbqkbnr/ppp1pppp/3p4/8/8/2P5/PP1PPPPP/RNBQKBNR w KQkq - 0 2
2,c3c4,LLAMA-CHESS,7247.04439999914,21,rnbqkbnr/ppp1pppp/3p4/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 2
3,b8d7,RANDOM,0.07399999958579428,19,r1bqkbnr/pppnpppp/3p4/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3
3,c4c5,LLAMA-CHESS,810.6489999991027,-124,r1bqkbnr/pppnpppp/3p4/2P5/8/8/PP1PPPPP/RNBQKBNR b KQkq - 0 3
4,e7e5,RANDOM,0.05860000237589702,-50,r1bqkbnr/pppn1ppp/3p4/2P1p3/8/8/PP1PPPPP/RNBQKBNR w KQkq - 0 4
4,c5d6,LLAMA-CHESS,890.6525999991572,-38,r1bqkbnr/pppn1ppp/3P4/4p3/8/8/PP1PPPPP/RNBQKBNR b KQkq - 0 4
5,d7f6,RANDOM,0.07349999941652641,82,r1bqkbnr/ppp2ppp/3P1n2/4p3/8/8/PP1PPPPP/RNBQKBNR w KQkq - 1 5
5,a2a3,LLAMA-CHESS,812.6530000008643,-50,r1bqkbnr/ppp2ppp/3P1n2/4p3/8/P7/1P1PPPPP/RNBQKBNR b KQkq - 0 5
6,e5e4,RANDOM,0.07900000127847306,95,r1bqkbnr/ppp2ppp/3P1n2/8/4p3/P7/1P1PPPPP/RNBQKBNR w KQkq - 0 6
6,a1a2,LLAMA-CHESS,847.6764000006369,-114,r1bqkbnr/ppp2ppp/3P1n2/8/4p3/P7/RP1PPPPP/1NBQKBNR b Kkq - 1 6
7,a7a6,RANDOM,0.07250000271596946,-8,r1bqkbnr/1pp2ppp/p2P1n2/8/4p3/P7/RP1PPPPP/1NBQKBNR w Kkq - 0 7
7,a2a1,LLAMA-CHESS,771.2284000008367,-120,r1bqkbnr/1pp2ppp/p2P1n2/8/4p3/P7/1P1PPPPP/RNBQKBNR b Kkq - 1 7
8,d8e7,RANDOM,0.07069999992381781,595,r1b1kbnr/1pp1qppp/p2P1n2/8/4p3/P7/1P1PPPPP/RNBQKBNR w Kkq - 2 8
8,a1a2,LLAMA-CHESS,854.8200000004726,-142,r1b1kbnr/1pp1qppp/p2P1n2/8/4p3/P7/RP1PPPPP/1NBQKBNR b Kkq - 3 8
9,e7e6,RANDOM,0.0715000023774337,-138,r1b1kbnr/1pp2ppp/p2Pqn2/8/4p3/P7/RP1PPPPP/1NBQKBNR w Kkq - 4 9
9,a2a1,LLAMA-CHESS,787.7053000011074,-138,r1b1kbnr/1pp2ppp/p2Pqn2/8/4p3/P7/1P1PPPPP/RNBQKBNR b Kkq - 5 9
10,e6d5,RANDOM,0.12680000145337544,102,r1b1kbnr/1pp2ppp/p2P1n2/3q4/4p3/P7/1P1PPPPP/RNBQKBNR w Kkq - 6 10
10,a1a2,LLAMA-CHESS,855.7523999988916,-457,r1b1kbnr/1pp2ppp/p2P1n2/3q4/4p3/P7/RP1PPPPP/1NBQKBNR b Kkq - 7 10
11,a8a7,RANDOM,0.08259999958681874,15,2b1kbnr/rpp2ppp/p2P1n2/3q4/4p3/P7/RP1PPPPP/1NBQKBNR w Kk - 8 11
11,a2a1,LLAMA-CHESS,863.15950000062,-3,2b1kbnr/rpp2ppp/p2P1n2/3q4/4p3/P7/1P1PPPPP/RNBQKBNR b Kk - 9 11
12,d5b3,RANDOM,0.08470000102533959,659,2b1kbnr/rpp2ppp/p2P1n2/8/4p3/Pq6/1P1PPPPP/RNBQKBNR w Kk - 10 12
