move_number,move_uci,player_name,time_taken_ms,centipawn_score,board_fen
1,e2e4,MIXTRAL,53917.116100001294,42,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1
2,e7e6,LLAMA,108.64960000253632,42,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
2,e4e5,MIXTRAL,7609.556299998076,-31,rnbqkbnr/pppp1ppp/4p3/4P3/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2
3,e8e7,LLAMA,14554.369499997847,117,rnbq1bnr/ppppkppp/4p3/4P3/8/8/PPPP1PPP/RNBQKBNR w KQ - 1 3
3,f1c4,MIXTRAL,49140.00220000162,52,rnbq1bnr/ppppkppp/4p3/4P3/2B5/8/PPPP1PPP/RNBQK1NR b KQ - 2 3
4,e7e8,LLAMA,14537.63120000076,71,rnbqkbnr/pppp1ppp/4p3/4P3/2B5/8/PPPP1PPP/RNBQK1NR w KQ - 3 4
4,c4d5,MIXTRAL,48995.21019999884,-421,rnbqkbnr/pppp1ppp/4p3/3BP3/8/8/PPPP1PPP/RNBQK1NR b KQ - 4 4
5,e6d5,LLAMA,14480.084299997543,-405,rnbqkbnr/pppp1ppp/8/3pP3/8/8/PPPP1PPP/RNBQK1NR w KQ - 0 5
5,e1e2,MIXTRAL,49211.991500000295,-510,rnbqkbnr/pppp1ppp/8/3pP3/8/8/PPPPKPPP/RNBQ2NR b - - 1 5
6,e8e7,LLAMA,14520.886600002996,-378,rnbq1bnr/ppppkppp/8/3pP3/8/8/PPPPKPPP/RNBQ2NR w - - 2 6
6,d1f1,MIXTRAL,49454.73990000028,-501,rnbq1bnr/ppppkppp/8/3pP3/8/8/PPPPKPPP/RNB2QNR b - - 3 6
7,e7e8,LLAMA,14505.479399998876,-487,rnbqkbnr/pppp1ppp/8/3pP3/8/8/PPPPKPPP/RNB2QNR w - - 4 7
7,b1c3,MIXTRAL,54478.7107000011,-524,rnbqkbnr/pppp1ppp/8/3pP3/8/2N5/PPPPKPPP/R1B2QNR b - - 5 7
8,e8e7,LLAMA,14506.50609999866,-377,rnbq1bnr/ppppkppp/8/3pP3/8/2N5/PPPPKPPP/R1B2QNR w - - 6 8
8,c3d5,MIXTRAL,49177.26129999937,-390,rnbq1bnr/ppppkppp/8/3NP3/8/8/PPPPKPPP/R1B2QNR b - - 0 8
9,e7e6,LLAMA,14322.549999997136,-232,rnbq1bnr/pppp1ppp/4k3/3NP3/8/8/PPPPKPPP/R1B2QNR w - - 1 9
9,d5e7,MIXTRAL,87325.96829999966,-552,rnbq1bnr/ppppNppp/4k3/4P3/8/8/PPPPKPPP/R1B2QNR b - - 2 9
10,e6e7,LLAMA,14497.267500002636,-521,rnbq1bnr/ppppkppp/8/4P3/8/8/PPPPKPPP/R1B2QNR w - - 0 10
10,e2e3,MIXTRAL,57461.271600001055,-626,rnbq1bnr/ppppkppp/8/4P3/8/4K3/PPPP1PPP/R1B2QNR b - - 1 10
11,e7e8,LLAMA,15405.912599999283,-652,rnbqkbnr/pppp1ppp/8/4P3/8/4K3/PPPP1PPP/R1B2QNR w - - 2 11
11,f1c4,MIXTRAL,55527.58149999863,-663,rnbqkbnr/pppp1ppp/8/4P3/2Q5/4K3/PPPP1PPP/R1B3NR b - - 3 11
12,e8e7,LLAMA,14513.874500000384,-496,rnbq1bnr/ppppkppp/8/4P3/2Q5/4K3/PPPP1PPP/R1B3NR w - - 4 12
12,c4d5,MIXTRAL,69111.55510000026,-620,rnbq1bnr/ppppkppp/8/3QP3/8/4K3/PPPP1PPP/R1B3NR b - - 5 12
13,e7e8,LLAMA,16838.39799999987,-628,rnbqkbnr/pppp1ppp/8/3QP3/8/4K3/PPPP1PPP/R1B3NR w - - 6 13
13,d5e6,MIXTRAL,125723.51640000124,-945,rnbqkbnr/pppp1ppp/4Q3/4P3/8/4K3/PPPP1PPP/R1B3NR b - - 7 13
14,d8e7,LLAMA,18390.096999999514,-635,rnb1kbnr/ppppqppp/4Q3/4P3/8/4K3/PPPP1PPP/R1B3NR w - - 8 14
14,e6e7,MIXTRAL,70300.36309999923,-640,rnb1kbnr/ppppQppp/8/4P3/8/4K3/PPPP1PPP/R1B3NR b - - 0 14
15,e8e7,LLAMA,15261.811899999884,-582,rnb2bnr/ppppkppp/8/4P3/8/4K3/PPPP1PPP/R1B3NR w - - 0 15
15,e3e4,MIXTRAL,64164.64140000244,-637,rnb2bnr/ppppkppp/8/4P3/4K3/8/PPPP1PPP/R1B3NR b - - 1 15
16,e7e8,LLAMA,15437.825499997416,-639,rnb1kbnr/pppp1ppp/8/4P3/4K3/8/PPPP1PPP/R1B3NR w - - 2 16
16,e4d5,MIXTRAL,59812.218400002166,-745,rnb1kbnr/pppp1ppp/8/3KP3/8/8/PPPP1PPP/R1B3NR b - - 3 16
17,e8d8,LLAMA,15737.473799999862,-645,rnbk1bnr/pppp1ppp/8/3KP3/8/8/PPPP1PPP/R1B3NR w - - 4 17
17,d5e4,MIXTRAL,62358.82529999799,-677,rnbk1bnr/pppp1ppp/8/4P3/4K3/8/PPPP1PPP/R1B3NR b - - 5 17
18,b8c6,LLAMA,14796.034399998462,-675,r1bk1bnr/pppp1ppp/2n5/4P3/4K3/8/PPPP1PPP/R1B3NR w - - 6 18
18,e4d5,MIXTRAL,60313.76090000049,-777,r1bk1bnr/pppp1ppp/2n5/3KP3/8/8/PPPP1PPP/R1B3NR b - - 7 18
19,b7b6,LLAMA,17093.24999999808,-700,r1bk1bnr/p1pp1ppp/1pn5/3KP3/8/8/PPPP1PPP/R1B3NR w - - 0 19
19,d5e4,MIXTRAL,64405.40519999922,-772,r1bk1bnr/p1pp1ppp/1pn5/4P3/4K3/8/PPPP1PPP/R1B3NR b - - 1 19
20,b6b5,LLAMA,16090.498500001559,-703,r1bk1bnr/p1pp1ppp/2n5/1p2P3/4K3/8/PPPP1PPP/R1B3NR w - - 0 20
20,e4d5,MIXTRAL,112740.91739999858,-852,r1bk1bnr/p1pp1ppp/2n5/1p1KP3/8/8/PPPP1PPP/R1B3NR b - - 1 20
21,b5b4,LLAMA,15236.957900000561,-710,r1bk1bnr/p1pp1ppp/2n5/3KP3/1p6/8/PPPP1PPP/R1B3NR w - - 0 21
21,d5e4,MIXTRAL,67619.94739999864,-736,r1bk1bnr/p1pp1ppp/2n5/4P3/1p2K3/8/PPPP1PPP/R1B3NR b - - 1 21
22,b4b3,LLAMA,17029.18209999916,-671,r1bk1bnr/p1pp1ppp/2n5/4P3/4K3/1p6/PPPP1PPP/R1B3NR w - - 0 22
22,e4d5,MIXTRAL,72713.74379999907,-809,r1bk1bnr/p1pp1ppp/2n5/3KP3/8/1p6/PPPP1PPP/R1B3NR b - - 1 22
23,b3c2,LLAMA,16760.02090000111,-750,r1bk1bnr/p1pp1ppp/2n5/3KP3/8/8/PPpP1PPP/R1B3NR w - - 0 23
